MR_ANIMALID,MR_TREATMENTTYPE,MR_TREATMENTDATE
25,Tick Treatment,2024-07-28
25,Heartworm Prevention,2022-11-26
25,Annual Checkup,2023-08-10
25,X-ray Examination,2023-04-06
26,Flea Treatment,2023-02-26
26,Follow-up Check,2022-07-28
26,Dental Cleaning,2022-02-25
26,Blood Test,2024-12-22
26,Vaccination - FVRCP,2022-01-24
26,Follow-up Check,2024-08-04
26,Vaccination - FVRCP,2023-05-18
26,Follow-up Check,2023-02-07
27,Vaccination - Rabies,2022-03-20
27,Tick Treatment,2022-12-23
27,Follow-up Check,2024-02-15
28,Dental Cleaning,2024-04-23
28,Vaccination - FVRCP,2024-11-07
28,Flea Treatment,2022-05-12
28,Annual Checkup,2022-04-27
28,X-ray Examination,2022-11-14
28,Microchip Implant,2023-11-25
28,Deworming,2022-06-07
30,Heartworm Prevention,2024-03-02
30,Follow-up Check,2022-03-17
30,Vaccination - DHPP,2023-02-07
30,Blood Test,2022-09-19
30,Annual Checkup,2023-10-18
30,Vaccination - FVRCP,2023-07-02
31,Follow-up Check,2023-03-07
31,Blood Test,2022-05-10
31,Tick Treatment,2023-12-14
31,Vaccination - FVRCP,2022-08-03
31,Dental Cleaning,2024-03-20
31,Heartworm Prevention,2024-03-02
31,Microchip Implant,2024-02-26
31,Follow-up Check,2024-06-29
31,Heartworm Prevention,2023-03-24
31,Spay Surgery,2024-01-04
33,Tick Treatment,2022-12-21
33,Vaccination - Rabies,2024-12-23
34,Flea Treatment,2023-11-13
34,X-ray Examination,2024-07-25
34,Blood Test,2024-05-14
35,Neuter Surgery,2023-03-16
35,Flea Treatment,2022-05-10
35,Tick Treatment,2022-12-17
35,Vaccination - FVRCP,2023-03-08
35,Follow-up Check,2022-05-20
35,Deworming,2023-05-01
35,Vaccination - DHPP,2022-03-19
35,Flea Treatment,2022-04-28
35,Neuter Surgery,2022-11-18
35,Heartworm Prevention,2024-02-26
37,Deworming,2024-09-25
37,Deworming,2023-04-30
37,Flea Treatment,2024-07-09
38,Neuter Surgery,2022-08-29
38,Flea Treatment,2024-05-09
38,X-ray Examination,2022-09-26
38,Neuter Surgery,2024-06-17
38,Tick Treatment,2023-12-27
38,Dental Cleaning,2024-12-10
38,Annual Checkup,2022-03-09
38,Spay Surgery,2023-12-25
38,Follow-up Check,2024-08-04
38,X-ray Examination,2023-08-28
39,Flea Treatment,2022-09-17
39,Vaccination - Rabies,2023-09-21
39,Deworming,2023-11-25
39,Deworming,2024-12-22
40,X-ray Examination,2023-04-08
40,Deworming,2024-05-11
40,Follow-up Check,2023-06-20
41,Microchip Implant,2022-09-18
41,Vaccination - Rabies,2024-03-28
41,Spay Surgery,2022-01-31
41,Annual Checkup,2023-07-07
41,Tick Treatment,2024-09-23
41,Vaccination - FVRCP,2024-08-14
41,Neuter Surgery,2022-08-06
41,Vaccination - FVRCP,2024-03-30
41,Spay Surgery,2022-04-10
42,Vaccination - FVRCP,2024-03-07
42,Microchip Implant,2024-10-25
42,Annual Checkup,2024-12-16
42,Annual Checkup,2024-12-22
42,Vaccination - Rabies,2023-02-09
42,Vaccination - FVRCP,2023-09-20
42,Microchip Implant,2023-03-13
42,X-ray Examination,2024-06-15
42,Vaccination - Rabies,2024-01-03
42,Flea Treatment,2023-11-21
43,X-ray Examination,2022-01-31
43,Annual Checkup,2023-03-19
43,Spay Surgery,2022-01-20
43,Deworming,2024-07-28
43,Neuter Surgery,2024-05-13
43,Dental Cleaning,2023-04-23
43,Vaccination - Rabies,2022-05-02
43,Annual Checkup,2022-07-01
44,Flea Treatment,2024-08-21
44,Vaccination - DHPP,2022-07-23
44,Dental Cleaning,2023-03-27
44,Spay Surgery,2024-02-11
44,Dental Cleaning,2023-09-30
44,Spay Surgery,2023-02-10
44,Heartworm Prevention,2024-04-23
44,Vaccination - Rabies,2022-03-17
45,Blood Test,2024-11-05
45,Vaccination - FVRCP,2022-07-26
45,Vaccination - FVRCP,2023-03-28
45,Annual Checkup,2023-02-19
46,Spay Surgery,2023-11-20
46,Vaccination - FVRCP,2024-04-02
46,Heartworm Prevention,2023-06-13
46,Vaccination - Rabies,2022-07-02
46,Vaccination - FVRCP,2024-06-19
47,Follow-up Check,2023-04-14
47,Neuter Surgery,2022-07-16
47,Deworming,2022-10-28
47,Blood Test,2023-11-02
47,Vaccination - FVRCP,2023-11-19
47,X-ray Examination,2023-07-27
47,Vaccination - Rabies,2023-01-15
48,Blood Test,2022-01-26
48,Vaccination - DHPP,2023-08-31
48,Neuter Surgery,2022-04-16
48,Follow-up Check,2023-09-05
48,Microchip Implant,2023-04-10
48,Vaccination - FVRCP,2024-05-30
48,Dental Cleaning,2022-02-04
48,X-ray Examination,2024-12-06
48,Follow-up Check,2024-12-24
48,Deworming,2023-05-30
49,Neuter Surgery,2024-07-09
49,Dental Cleaning,2022-01-26
49,Tick Treatment,2022-07-05
49,Blood Test,2023-03-01
50,Flea Treatment,2024-04-19
50,Deworming,2022-08-11
50,Follow-up Check,2023-08-25
50,Tick Treatment,2022-03-10
50,Annual Checkup,2024-02-12
50,X-ray Examination,2024-08-17
50,Deworming,2022-07-02
50,Dental Cleaning,2023-01-07
51,Tick Treatment,2024-12-19
51,Deworming,2024-06-22
51,Follow-up Check,2023-06-25
51,Vaccination - FVRCP,2022-12-27
51,Flea Treatment,2022-03-04
51,Annual Checkup,2022-05-01
51,Dental Cleaning,2022-11-07
51,Dental Cleaning,2023-11-07
52,X-ray Examination,2022-06-01
52,Microchip Implant,2024-01-17
52,Dental Cleaning,2022-06-11
52,Vaccination - FVRCP,2023-10-13
52,Heartworm Prevention,2023-06-22
52,Follow-up Check,2023-07-18
52,X-ray Examination,2024-09-05
53,Deworming,2024-11-23
54,Microchip Implant,2024-03-16
54,Blood Test,2022-08-21
54,Spay Surgery,2023-10-29
54,Neuter Surgery,2024-02-10
54,X-ray Examination,2022-06-25
54,Tick Treatment,2023-09-23
54,Microchip Implant,2022-08-19
55,Follow-up Check,2023-02-13
55,Annual Checkup,2022-09-21
55,Vaccination - FVRCP,2024-09-10
55,Follow-up Check,2023-11-26
55,Vaccination - Rabies,2022-03-23
55,Blood Test,2024-12-30
55,Tick Treatment,2024-06-12
56,Neuter Surgery,2022-04-26
56,Spay Surgery,2022-01-21
57,Heartworm Prevention,2024-09-28
57,Annual Checkup,2024-07-25
57,Blood Test,2022-01-16
57,Tick Treatment,2022-09-05
57,Deworming,2022-02-21
58,Flea Treatment,2022-03-15
58,Deworming,2023-02-01
58,Dental Cleaning,2022-06-07
58,Vaccination - DHPP,2023-12-09
58,Microchip Implant,2023-05-03
58,Neuter Surgery,2024-09-17
58,X-ray Examination,2023-07-23
59,X-ray Examination,2022-06-01
59,Blood Test,2023-10-30
59,Neuter Surgery,2023-11-06
59,Heartworm Prevention,2024-04-19
59,Spay Surgery,2024-08-06
59,X-ray Examination,2024-10-18
59,Heartworm Prevention,2024-04-13
59,Flea Treatment,2022-10-20
60,Vaccination - FVRCP,2023-04-27
61,Dental Cleaning,2022-10-05
62,Tick Treatment,2022-01-04
62,Vaccination - FVRCP,2023-11-25
62,Microchip Implant,2024-02-09
62,Microchip Implant,2024-03-12
63,Vaccination - Rabies,2023-01-13
63,Dental Cleaning,2024-05-19
63,Vaccination - Rabies,2024-02-21
63,Tick Treatment,2022-10-16
63,X-ray Examination,2024-01-21
63,Flea Treatment,2024-04-26
63,Blood Test,2022-05-26
63,Blood Test,2023-11-08
63,Spay Surgery,2022-10-24
64,Annual Checkup,2022-02-17
64,Deworming,2022-07-26
64,Deworming,2024-06-28
64,Neuter Surgery,2024-07-31
64,Heartworm Prevention,2022-08-18
64,Annual Checkup,2024-01-01
64,Tick Treatment,2024-08-25
64,Tick Treatment,2024-12-29
65,Vaccination - FVRCP,2022-06-30
65,Blood Test,2023-08-14
65,Heartworm Prevention,2022-03-21
65,Tick Treatment,2023-11-25
65,Neuter Surgery,2024-07-23
65,Dental Cleaning,2024-06-26
65,Heartworm Prevention,2022-01-24
65,X-ray Examination,2022-02-28
66,Flea Treatment,2024-11-19
66,Blood Test,2024-04-17
66,Flea Treatment,2023-03-21
66,Dental Cleaning,2023-03-11
66,Vaccination - Rabies,2023-11-17
66,Microchip Implant,2022-09-15
67,Microchip Implant,2023-09-23
67,Tick Treatment,2023-06-06
67,Vaccination - DHPP,2024-06-10
67,Tick Treatment,2022-08-01
67,X-ray Examination,2024-02-07
67,Dental Cleaning,2024-08-16
67,Blood Test,2023-03-30
68,X-ray Examination,2024-12-25
68,Annual Checkup,2023-08-10
68,Microchip Implant,2023-09-07
68,Spay Surgery,2022-01-03
69,Blood Test,2022-08-27
69,X-ray Examination,2024-09-11
69,Annual Checkup,2024-07-08
69,Follow-up Check,2022-12-14
70,X-ray Examination,2023-08-24
70,Microchip Implant,2022-03-29
70,Tick Treatment,2023-08-31
70,Microchip Implant,2024-04-24
70,Microchip Implant,2022-06-30
70,Tick Treatment,2022-11-03
70,Microchip Implant,2023-08-27
70,Deworming,2024-01-16
72,Tick Treatment,2022-07-18
72,Deworming,2024-07-09
72,Blood Test,2022-03-04
72,Dental Cleaning,2022-04-14
72,Vaccination - Rabies,2022-09-15
72,Heartworm Prevention,2022-11-27
72,Vaccination - FVRCP,2023-07-02
72,Microchip Implant,2024-04-24
72,Vaccination - Rabies,2024-08-19
73,Tick Treatment,2022-02-06
73,Vaccination - Rabies,2023-02-04
73,Vaccination - FVRCP,2022-05-09
73,Dental Cleaning,2022-12-07
73,Flea Treatment,2023-01-17
74,Blood Test,2023-05-10
74,Neuter Surgery,2023-07-25
74,Annual Checkup,2023-08-11
74,Vaccination - Rabies,2022-11-23
75,Spay Surgery,2024-09-18
75,Microchip Implant,2022-05-03
75,Vaccination - Rabies,2023-07-19
75,Neuter Surgery,2022-08-13
75,Heartworm Prevention,2024-09-09
75,Blood Test,2023-07-15
75,Heartworm Prevention,2024-04-16
76,Microchip Implant,2024-01-24
76,Tick Treatment,2024-05-24
76,Vaccination - FVRCP,2023-12-24
76,Heartworm Prevention,2022-07-17
77,Heartworm Prevention,2023-02-11
77,Spay Surgery,2024-04-27
77,X-ray Examination,2023-02-01
77,Vaccination - Rabies,2024-09-27
77,Tick Treatment,2022-04-17
77,Vaccination - DHPP,2023-07-17
77,Flea Treatment,2022-06-19
77,Dental Cleaning,2022-12-17
77,Microchip Implant,2022-01-13
78,Blood Test,2023-07-21
78,Vaccination - DHPP,2022-11-09
78,Vaccination - Rabies,2024-08-05
78,Vaccination - DHPP,2022-03-22
79,Spay Surgery,2022-12-16
79,Vaccination - FVRCP,2024-04-13
79,Neuter Surgery,2024-07-26
79,Vaccination - FVRCP,2023-07-15
79,Heartworm Prevention,2023-05-13
79,Microchip Implant,2024-02-22
79,Dental Cleaning,2024-08-28
79,Flea Treatment,2023-09-11
80,Follow-up Check,2024-04-06
80,Neuter Surgery,2023-01-30
80,Blood Test,2022-04-10
80,Annual Checkup,2022-08-20
80,Microchip Implant,2022-12-31
80,Deworming,2022-01-20
80,Microchip Implant,2024-11-20
81,X-ray Examination,2022-01-24
81,Follow-up Check,2023-11-24
82,Dental Cleaning,2024-02-28
82,Microchip Implant,2023-07-15
82,Microchip Implant,2022-06-01
82,Dental Cleaning,2023-01-06
82,Tick Treatment,2023-12-31
82,Microchip Implant,2024-07-12
82,X-ray Examination,2024-11-13
83,Dental Cleaning,2023-02-08
83,Annual Checkup,2023-02-05
84,Heartworm Prevention,2023-11-06
84,Heartworm Prevention,2024-11-06
84,Flea Treatment,2022-04-27
84,Follow-up Check,2022-01-05
84,Microchip Implant,2023-05-24
84,X-ray Examination,2024-04-19
84,Tick Treatment,2024-05-24
85,Follow-up Check,2022-10-17
85,Deworming,2024-06-04
86,Dental Cleaning,2022-07-16
86,Dental Cleaning,2024-11-15
86,Blood Test,2024-05-26
86,Dental Cleaning,2022-06-18
86,Blood Test,2024-07-19
86,Annual Checkup,2024-11-22
86,X-ray Examination,2022-10-02
87,Vaccination - Rabies,2022-04-30
87,Flea Treatment,2022-10-04
87,Vaccination - Rabies,2024-02-13
87,Dental Cleaning,2023-02-11
88,Dental Cleaning,2023-04-27
88,Heartworm Prevention,2023-04-11
89,Dental Cleaning,2023-06-20
89,Dental Cleaning,2024-06-20
89,Deworming,2024-12-26
89,Vaccination - DHPP,2023-10-08
89,Dental Cleaning,2022-12-29
89,Flea Treatment,2024-03-13
89,Neuter Surgery,2022-05-11
89,Flea Treatment,2024-02-18
90,Tick Treatment,2024-04-24
90,Annual Checkup,2023-06-28
90,Deworming,2024-10-19
91,Dental Cleaning,2024-04-10
91,Deworming,2023-02-01
91,X-ray Examination,2024-07-13
91,Flea Treatment,2023-05-11
91,X-ray Examination,2022-04-18
91,Heartworm Prevention,2022-02-11
91,Annual Checkup,2024-10-26
91,Neuter Surgery,2023-09-14
91,Vaccination - Rabies,2023-06-17
92,Tick Treatment,2022-02-21
92,X-ray Examination,2022-03-17
92,Dental Cleaning,2023-09-28
93,Dental Cleaning,2023-09-25
93,Vaccination - DHPP,2023-05-09
93,Spay Surgery,2024-02-11
93,Vaccination - DHPP,2023-09-16
93,Tick Treatment,2023-03-21
94,Vaccination - FVRCP,2024-05-13
94,Blood Test,2024-04-29
94,Vaccination - FVRCP,2022-09-13
94,Annual Checkup,2023-09-25
94,Dental Cleaning,2024-04-01
94,Vaccination - FVRCP,2024-07-18
95,Vaccination - FVRCP,2023-03-27
96,Neuter Surgery,2024-01-31
96,Annual Checkup,2023-04-18
96,Dental Cleaning,2024-07-22
96,Blood Test,2022-08-08
97,Flea Treatment,2024-02-22
98,Vaccination - Rabies,2022-09-10
98,Vaccination - FVRCP,2024-09-04
98,Flea Treatment,2024-03-08
98,Blood Test,2024-02-09
98,Follow-up Check,2024-09-03
98,Dental Cleaning,2022-07-07
98,Vaccination - DHPP,2024-01-03
98,Vaccination - DHPP,2022-05-19
98,Vaccination - FVRCP,2024-07-03
99,Vaccination - Rabies,2023-11-25
99,Vaccination - FVRCP,2024-05-14
99,Annual Checkup,2023-05-07
100,Dental Cleaning,2024-04-29
100,X-ray Examination,2024-03-12
100,Deworming,2023-11-16
101,Microchip Implant,2024-12-08
101,Follow-up Check,2022-04-09
101,Follow-up Check,2024-04-25
101,X-ray Examination,2022-04-21
101,Microchip Implant,2023-04-21
102,Follow-up Check,2023-08-10
102,Flea Treatment,2023-01-30
102,Heartworm Prevention,2024-06-15
103,Heartworm Prevention,2022-08-04
103,Vaccination - FVRCP,2023-10-12
103,Dental Cleaning,2023-10-31
103,Vaccination - Rabies,2022-09-24
104,X-ray Examination,2022-11-13
104,Dental Cleaning,2022-10-31
104,Flea Treatment,2022-05-28
104,Microchip Implant,2024-01-06
104,Vaccination - DHPP,2022-03-15
104,Deworming,2023-11-08
104,Follow-up Check,2022-10-13
104,Deworming,2024-05-01
104,Neuter Surgery,2024-10-16
104,Neuter Surgery,2022-09-05
105,Flea Treatment,2024-12-20
105,Follow-up Check,2023-07-18
105,Vaccination - Rabies,2022-07-21
105,Dental Cleaning,2024-09-01
105,Heartworm Prevention,2024-03-14
106,Deworming,2023-07-15
106,Flea Treatment,2024-03-07
106,Heartworm Prevention,2024-04-19
106,Blood Test,2024-09-12
107,X-ray Examination,2023-06-05
107,Dental Cleaning,2023-05-04
107,Blood Test,2024-04-06
107,Vaccination - DHPP,2023-08-07
107,Spay Surgery,2023-08-15
107,Neuter Surgery,2024-01-04
107,Tick Treatment,2022-05-05
107,Blood Test,2023-05-08
107,Spay Surgery,2022-04-05
107,Spay Surgery,2023-09-06
108,X-ray Examination,2022-02-20
108,Spay Surgery,2023-12-24
108,Deworming,2023-11-07
108,Dental Cleaning,2023-08-16
108,X-ray Examination,2024-02-25
109,Vaccination - FVRCP,2022-09-09
109,Vaccination - FVRCP,2024-02-07
109,Heartworm Prevention,2023-03-26
109,Blood Test,2023-03-04
109,Vaccination - DHPP,2023-01-03
109,Vaccination - DHPP,2022-10-05
109,Dental Cleaning,2024-10-03
109,Spay Surgery,2022-06-21
109,Spay Surgery,2024-12-06
109,Deworming,2024-08-01
110,Vaccination - Rabies,2022-12-21
110,Flea Treatment,2022-06-27
110,Tick Treatment,2023-04-17
110,Annual Checkup,2023-03-27
110,Vaccination - DHPP,2022-06-04
110,Dental Cleaning,2022-11-10
110,Tick Treatment,2022-08-24
110,Flea Treatment,2023-05-30
111,Blood Test,2022-08-09
111,Vaccination - Rabies,2023-06-20
111,Vaccination - DHPP,2024-06-22
111,Dental Cleaning,2023-11-17
111,Dental Cleaning,2022-06-16
111,X-ray Examination,2022-12-20
111,Neuter Surgery,2022-09-21
111,Follow-up Check,2022-12-30
112,Neuter Surgery,2022-12-20
112,Vaccination - DHPP,2022-08-12
112,Microchip Implant,2024-07-08
112,Dental Cleaning,2022-03-24
112,Microchip Implant,2023-12-13
112,Blood Test,2022-06-15
113,Deworming,2022-10-25
113,Neuter Surgery,2022-12-01
113,Vaccination - FVRCP,2023-11-28
113,Blood Test,2024-09-24
113,Annual Checkup,2023-07-31
113,Microchip Implant,2024-01-19
114,Spay Surgery,2022-02-15
114,Microchip Implant,2024-07-13
114,Vaccination - DHPP,2024-06-10
114,Flea Treatment,2023-01-17
114,Vaccination - Rabies,2023-05-20
114,Tick Treatment,2024-09-21
114,Blood Test,2024-11-01
114,Follow-up Check,2022-10-19
114,Neuter Surgery,2024-04-13
115,Deworming,2023-01-01
115,Microchip Implant,2024-10-01
115,Flea Treatment,2023-10-09
115,Follow-up Check,2024-05-20
115,Spay Surgery,2022-03-05
115,Vaccination - FVRCP,2023-05-31
115,Follow-up Check,2023-05-22
115,Flea Treatment,2023-04-08
115,Follow-up Check,2024-07-20
116,Blood Test,2023-06-18
116,Follow-up Check,2023-11-29
116,Follow-up Check,2024-08-01
116,Vaccination - DHPP,2024-01-10
116,Dental Cleaning,2023-05-24
116,Annual Checkup,2023-01-12
116,Deworming,2022-04-24
117,X-ray Examination,2023-10-29
117,Neuter Surgery,2024-08-28
117,Follow-up Check,2022-03-20
118,Tick Treatment,2023-01-01
118,Microchip Implant,2024-08-11
118,Heartworm Prevention,2023-02-17
118,Vaccination - DHPP,2023-03-08
118,Vaccination - Rabies,2022-03-31
119,Deworming,2022-01-01
119,Vaccination - Rabies,2023-07-04
119,Annual Checkup,2024-08-26
119,Microchip Implant,2024-12-28
120,X-ray Examination,2024-11-18
120,Follow-up Check,2023-06-21
120,Neuter Surgery,2022-08-21
120,Dental Cleaning,2022-12-13
120,Vaccination - Rabies,2022-10-28
120,Tick Treatment,2023-08-21
120,Vaccination - Rabies,2023-08-27
121,Vaccination - Rabies,2022-04-01
121,Heartworm Prevention,2024-02-06
121,Dental Cleaning,2022-06-11
122,Spay Surgery,2023-08-29
122,Dental Cleaning,2024-05-04
122,Tick Treatment,2022-01-16
122,X-ray Examination,2022-07-28
122,Flea Treatment,2023-01-28
122,Vaccination - FVRCP,2023-07-30
122,Deworming,2024-07-22
122,Microchip Implant,2024-08-04
122,Annual Checkup,2023-05-28
122,Annual Checkup,2022-03-31
123,Flea Treatment,2024-09-26
123,Deworming,2024-05-11
123,Follow-up Check,2023-05-06
123,Blood Test,2022-01-01
124,Dental Cleaning,2022-05-21
124,X-ray Examination,2022-07-22
124,Blood Test,2022-11-22
124,Annual Checkup,2023-02-22
124,Blood Test,2022-02-24
124,Blood Test,2023-01-11
125,X-ray Examination,2024-09-08
125,Heartworm Prevention,2024-06-29
125,Microchip Implant,2022-11-23
126,Dental Cleaning,2022-01-20
126,Vaccination - DHPP,2023-09-22
127,Dental Cleaning,2023-03-28
127,Follow-up Check,2024-01-27
127,Blood Test,2023-04-28
127,Spay Surgery,2024-12-26
128,Vaccination - DHPP,2022-02-05
128,Neuter Surgery,2024-10-28
128,Vaccination - Rabies,2024-09-09
128,Spay Surgery,2023-02-19
128,Follow-up Check,2022-09-11
128,Flea Treatment,2022-04-14
128,Dental Cleaning,2024-01-01
130,Heartworm Prevention,2024-05-07
130,Microchip Implant,2022-04-17
130,Vaccination - Rabies,2024-10-14
130,Tick Treatment,2024-03-07
130,Dental Cleaning,2022-06-05
130,Annual Checkup,2022-12-24
130,Vaccination - FVRCP,2023-01-08
130,Dental Cleaning,2024-04-29
130,Neuter Surgery,2023-08-21
130,Microchip Implant,2024-08-20
132,Heartworm Prevention,2024-01-17
132,Dental Cleaning,2023-09-27
132,Spay Surgery,2024-11-08
132,Neuter Surgery,2023-09-18
132,Neuter Surgery,2022-11-10
132,Flea Treatment,2022-08-02
132,X-ray Examination,2022-10-11
132,Dental Cleaning,2022-05-03
132,Dental Cleaning,2024-08-17
133,Vaccination - DHPP,2024-08-07
134,X-ray Examination,2024-01-12
134,Vaccination - Rabies,2024-03-26
135,Heartworm Prevention,2024-05-04
135,Vaccination - DHPP,2022-02-14
137,Neuter Surgery,2023-03-15
137,Vaccination - FVRCP,2022-06-28
137,Annual Checkup,2022-05-05
137,Deworming,2023-07-19
137,Dental Cleaning,2023-08-02
137,Microchip Implant,2022-12-24
138,Deworming,2023-03-04
138,Blood Test,2024-09-15
138,Tick Treatment,2023-01-23
138,Heartworm Prevention,2024-01-02
138,Annual Checkup,2024-03-30
138,Vaccination - DHPP,2023-12-30
138,Vaccination - Rabies,2023-07-19
138,Flea Treatment,2023-02-26
140,Deworming,2024-04-21
140,Vaccination - Rabies,2024-11-05
140,Blood Test,2024-05-11
141,Spay Surgery,2022-11-19
142,Neuter Surgery,2022-06-20
142,Follow-up Check,2022-08-15
142,Blood Test,2024-02-14
142,Deworming,2023-04-07
142,Annual Checkup,2022-09-07
143,Blood Test,2024-08-14
143,Vaccination - Rabies,2023-12-31
143,Annual Checkup,2022-05-04
143,X-ray Examination,2023-09-08
143,Flea Treatment,2023-09-23
143,Follow-up Check,2024-01-22
143,Dental Cleaning,2024-04-02
144,Follow-up Check,2024-01-17
144,Vaccination - DHPP,2024-08-04
144,Annual Checkup,2022-08-31
145,Spay Surgery,2023-08-10
145,Vaccination - Rabies,2022-02-22
145,Vaccination - DHPP,2023-10-08
145,Tick Treatment,2023-01-24
146,Vaccination - Rabies,2022-06-18
146,Microchip Implant,2024-01-28
146,Vaccination - FVRCP,2022-03-19
147,Tick Treatment,2022-05-01
147,Neuter Surgery,2024-03-06
147,Flea Treatment,2024-10-28
148,Dental Cleaning,2023-09-20
148,Neuter Surgery,2023-12-26
148,Flea Treatment,2024-03-30
148,Heartworm Prevention,2023-12-18
148,Tick Treatment,2023-05-14
148,Vaccination - FVRCP,2022-06-29
148,Annual Checkup,2022-06-10
150,Vaccination - Rabies,2023-01-07
150,Spay Surgery,2022-12-01
150,Microchip Implant,2024-03-26
150,Spay Surgery,2024-12-14
150,Tick Treatment,2024-07-06
151,Vaccination - DHPP,2022-10-29
153,Neuter Surgery,2023-11-29
153,Neuter Surgery,2022-09-09
153,Heartworm Prevention,2022-10-22
153,Deworming,2024-06-17
153,Flea Treatment,2022-08-25
153,Annual Checkup,2023-05-21
153,Vaccination - Rabies,2023-07-23
154,Vaccination - DHPP,2024-05-03
156,Deworming,2023-11-06
156,Heartworm Prevention,2022-07-13
156,Vaccination - DHPP,2023-03-31
156,Vaccination - FVRCP,2022-12-04
156,Dental Cleaning,2023-05-02
156,Heartworm Prevention,2022-07-28
156,Follow-up Check,2023-04-01
156,Microchip Implant,2024-12-14
156,Vaccination - DHPP,2023-06-30
157,Spay Surgery,2023-07-24
157,Dental Cleaning,2023-01-22
157,Heartworm Prevention,2023-11-18
157,Vaccination - DHPP,2022-01-28
157,Flea Treatment,2024-05-05
157,Deworming,2022-03-03
157,Vaccination - FVRCP,2022-06-09
158,Vaccination - DHPP,2023-02-04
158,Flea Treatment,2023-08-21
158,Vaccination - FVRCP,2022-06-09
158,Vaccination - DHPP,2022-12-21
159,Vaccination - Rabies,2024-09-27
159,Flea Treatment,2023-01-28
159,Vaccination - FVRCP,2023-06-19
159,Neuter Surgery,2023-11-09
159,Vaccination - DHPP,2023-11-24
159,Vaccination - FVRCP,2023-02-19
159,X-ray Examination,2023-07-09
159,Blood Test,2023-10-14
159,Tick Treatment,2023-04-11
161,Vaccination - FVRCP,2024-11-01
161,Microchip Implant,2023-02-01
161,X-ray Examination,2023-05-20
161,Follow-up Check,2024-09-27
161,Follow-up Check,2024-10-19
161,Vaccination - Rabies,2024-05-13
161,Flea Treatment,2022-01-30
161,Deworming,2022-03-17
161,Microchip Implant,2024-06-05
161,X-ray Examination,2022-05-23
